x,y,expertlabel,NDAI,SD,CORR,DF,CF,BF,AF,AN
298,219,-1,-0.18757977,1.8243883,0.1352514,294.60843,278.55743,258.21735,235.15114,220.09958
299,219,-1,-0.23354344,1.1750453,0.13643403,293.2887,276.17569,258.50394,234.18542,219.64923
300,219,-1,-0.037452079,1.1154959,0.13575369,292.14719,275.1329,257.65384,234.07706,220.7787
301,219,-1,-0.27919495,0.9583813,0.13731709,290.30969,274.47546,257.62732,235.10057,221.14957
302,219,-1,-0.43644902,1.3199091,0.13915889,288.93698,274.22501,258.75681,235.6376,221.32538
303,219,-1,-0.44677636,1.5737712,0.13761526,288.17117,275.16904,259.74899,236.45401,221.33261
304,219,-1,-0.15133642,1.5818223,0.13512194,287.78586,276.3876,260.42331,236.95251,221.79257
305,219,-1,-0.39232746,2.0102429,0.13274257,288.81897,276.90536,261.03259,237.74001,222.41632
306,219,-1,-0.69412959,2.4965699,0.13259794,290.55533,277.57007,261.18192,237.96638,222.23088
307,219,-1,-0.86930311,1.8080219,0.13123071,290.88284,276.60675,261.78879,236.78874,222.18271
308,219,-1,-0.89189869,1.1143692,0.13232113,291.40305,278.06375,259.79236,236.68037,222.06712
309,219,-1,-0.85991985,1.7440996,0.13111509,290.78653,276.88129,259.6575,236.62018,222.14177
310,219,-1,-0.83673012,2.198946,0.13074569,292.65051,275.76147,260.39682,236.98622,222.30313
311,219,-1,-0.57226354,2.1034272,0.1304132,291.06589,276.45264,260.60153,236.91638,222.07434
312,219,-1,-0.44789839,1.6697332,0.13062401,289.44513,277.25458,260.58707,236.8056,221.91299
313,219,-1,-0.62213719,1.2189564,0.13041174,289.9581,277.5845,260.67377,237.05365,222.267
314,219,-1,-1.0532193,0.94765246,0.13101906,290.51199,277.5556,260.48834,237.67981,222.66437
315,219,-1,-0.96014249,0.67997998,0.13349901,290.69501,277.06192,261.1217,237.83394,222.38742
316,219,-1,-0.48042995,0.74648434,0.13332371,290.36026,276.93909,261.68042,237.37877,222.65955
317,219,-1,-0.23901334,0.81176603,0.13187499,289.5246,277.24252,261.34567,237.67258,223.45186
318,219,-1,-0.26990432,1.0032732,0.13063347,289.22357,277.85904,261.56482,238.32521,223.73845
319,219,-1,-0.41292593,1.0521462,0.13460937,289.58963,277.84943,261.8779,238.35893,223.61563
320,219,-1,-0.75352621,0.91534936,0.1360535,290.94305,277.60617,261.94775,238.37097,223.56746
321,219,-1,-0.689942,1.0095932,0.13593152,290.80579,278.09506,262.29694,238.57086,223.31941
322,219,-1,-0.62916833,0.93476355,0.13644278,290.59146,278.67786,262.78098,238.16628,223.04968
323,219,-1,-0.52325493,0.6929751,0.13405006,291.20316,279.84827,262.64371,238.04585,224.06355
324,219,-1,-1.0657265,0.67970276,0.13547722,292.14719,280.09872,262.25357,238.72017,224.29716
325,219,-1,-1.1356963,0.66162276,0.13475721,293.40189,279.38345,263.11813,239.22589,224.57411
326,219,-1,-0.8307119,0.84254926,0.13527352,293.92447,279.73508,263.66483,239.54379,224.50427
327,219,-1,-0.65425962,0.94312292,0.13606349,293.53915,280.5322,264.20425,239.61122,223.86609
328,219,-1,-0.41393855,1.0835205,0.13316558,293.64752,281.10779,264.47159,238.85022,224.49463
329,219,-1,-0.71770114,1.6004744,0.13067661,294.06897,281.2041,263.21689,239.63289,224.71619
330,219,-1,-0.57884163,1.7187551,0.13039321,294.36276,280.53943,263.69373,239.99413,224.69693
331,219,-1,-0.54707897,1.487497,0.12997559,294.63492,280.18781,264.18018,239.96283,224.70415
332,219,-1,-0.52139556,1.1154959,0.12922451,294.15567,280.73691,263.90082,239.82796,224.99315
333,219,-1,-0.5318765,0.73689318,0.12846214,294.30017,280.49365,263.34933,240.10251,225.02444
334,219,-1,-0.52983296,0.88040668,0.12831412,294.45428,279.52554,263.96585,240.55284,225.11597
335,219,-1,-0.51948297,0.9014436,0.12903158,293.35132,279.35455,264.24521,240.57933,224.69934
336,219,-1,-0.80981553,0.80284953,0.12937896,292.3519,279.75916,264.22833,240.26868,224.64635
337,219,-1,-0.73649532,0.72976834,0.12804548,291.78354,279.7399,264.06458,240.07841,224.56929
338,219,-1,-0.88615125,0.71295887,0.12575264,291.98102,279.29437,264.05255,239.96524,225.11838
339,219,-1,-0.78105521,0.64672679,0.12582548,291.84857,279.27267,263.88397,240.1627,225.57835
340,219,-1,-0.80059999,0.82481945,0.12411309,291.1261,279.42682,264.05255,240.71179,225.58075
341,219,-1,-1.0791717,1.0151142,0.12538423,290.78653,278.79584,264.49084,240.40353,224.99074
342,219,-1,-1.2194983,1.0053771,0.12441473,290.40601,279.06076,263.90323,239.75571,225.41458
343,219,-1,-1.2703644,0.93638861,0.1287218,289.83044,278.9548,263.00015,240.17957,225.22192
344,219,-1,-0.81906319,0.80543047,0.12827066,290.21817,278.22992,263.5444,240.27589,225.49646
345,219,-1,-0.90637004,0.70543414,0.12735204,290.09296,278.38885,263.5733,240.43484,225.96126
346,219,-1,-1.2156074,0.8832972,0.12759362,289.27414,278.67303,263.63834,240.73105,225.7686
347,219,-1,-0.74269754,0.89696234,0.12632328,289.51978,279.24619,263.5444,240.24699,225.74933
348,219,-1,-0.63341647,0.7643218,0.12453088,290.47586,279.47015,262.98569,240.21568,225.9733
349,219,-1,-0.71245694,0.74782622,0.12396284,291.67758,279.03668,262.30896,240.21329,226.10576
350,219,-1,-0.8579812,0.96884835,0.1229491,291.9762,278.15524,262.18375,240.43484,226.37067
351,219,-1,-1.0725845,0.99369437,0.12472746,291.93768,277.22327,262.42456,240.74069,226.41882
352,219,-1,-1.0111393,1.0122854,0.12889898,291.16461,277.19196,263.01218,240.78885,226.38751
353,219,-1,-0.89364749,0.78226662,0.12789868,290.27115,277.75067,263.40955,241.2681,226.74635
354,219,-1,-0.35658827,1.0560031,0.12766214,289.98459,278.58875,264.32468,241.46558,226.69818
355,219,-1,-0.44729128,1.1778075,0.12772985,290.2254,279.8049,264.69797,241.57635,227.2569
356,219,-1,-0.55827492,1.0074953,0.13207805,291.32599,280.66705,264.40656,242.21213,226.6741
357,219,-1,-0.5819084,1.1931642,0.13272409,292.36392,280.29858,265.49268,242.35181,226.58258
358,219,-1,-0.55604726,1.1317949,0.13264544,293.40912,280.79712,266.25128,242.67934,226.9944
359,219,-1,-0.74795568,1.1043742,0.13476315,293.16107,282.02533,266.86298,243.11763,227.17743
360,219,-1,-1.1017791,1.0916516,0.13458084,293.64752,282.92358,267.29886,243.24045,227.39417
361,219,-1,-1.0205868,0.8576352,0.13539962,294.96002,283.21982,267.75644,243.55112,227.54108
362,219,-1,-1.2021332,1.7539138,0.1336098,295.26587,283.73758,267.99725,243.65466,227.80116
363,219,-1,-1.0217961,2.2157423,0.13124634,295.95703,284.46487,268.26218,243.68117,227.77948
364,219,-1,-0.90460813,2.1072676,0.1321169,296.59763,285.08862,268.26218,243.7534,227.7554
365,219,-1,-1.0275229,2.1139057,0.13504519,297.35623,285.25476,267.98523,243.55112,227.49049
366,219,-1,-1.0441839,1.7831987,0.13409893,298.52905,284.737,268.09842,243.05261,227.43752
367,219,-1,-0.86941725,1.1853119,0.13035423,298.517,284.64789,267.26035,242.88403,227.62776
368,219,-1,-0.91312569,1.493335,0.12641995,298.31232,284.65753,266.53787,242.64079,227.80116
369,219,-1,-1.04634,1.7166731,0.125787,298.66391,283.02475,265.66849,242.30365,227.63017
370,219,-1,-1.0460639,1.4414918,0.12453376,297.91495,282.18185,265.05438,242.21213,227.97215
371,219,-1,-0.85178673,0.99501872,0.1242765,296.47482,280.99219,264.70517,242.47945,228.02272
372,219,-1,-0.75173014,0.79306442,0.12512834,295.28995,280.17819,265.01105,242.65765,227.48569
373,219,-1,-0.80240822,0.78659958,0.12439812,294.34592,280.29138,264.89545,242.13507,227.85655
374,219,-1,-0.80827034,0.74270254,0.12383204,293.44281,280.42383,264.59439,242.39757,228.11183
375,219,-1,-0.78128272,0.98228395,0.12181192,293.34167,279.86993,264.74371,242.53242,228.62479
376,219,-1,-0.83947235,1.077368,0.12310662,292.98285,279.56891,264.88821,242.89366,228.09738
377,219,-1,-1.0182528,1.1159412,0.12600493,292.64569,279.80972,265.07364,242.85031,228.03717
378,219,-1,-0.85501534,1.5862223,0.12667219,292.26038,280.09149,265.36987,242.63358,227.94806
379,219,-1,-0.78171068,1.849768,0.1273869,292.4097,280.30582,265.34576,242.7299,228.29245
380,219,-1,-0.90486211,1.7067719,0.12630464,292.16403,280.82843,265.36746,243.06224,228.55254
381,219,-1,-1.0970789,1.3504899,0.13022201,292.98526,280.64056,265.93097,243.58965,228.48752
382,219,-1,-0.91062003,1.5869788,0.13231334,293.12735,281.1174,266.6655,243.74377,228.21297
383,219,-1,-0.90872228,1.7734767,0.13101247,293.15866,282.13129,266.97134,243.5463,228.51642
193,220,0,3.6199989,24.135878,0.24526782,261.25415,213.43835,260.2692,247.08884,210.8808
194,220,0,3.6490934,13.127435,0.091336161,209.76337,247.05511,271.81433,229.49176,282.73334
195,220,0,3.2062426,7.8739963,0.12859787,221.33983,295.14545,272.54645,283.06085,273.03531
196,220,0,3.8010302,12.724423,0.18978111,237.50641,305.11322,292.68665,285.59674,246.81911
197,220,0,3.8714895,27.158134,0.30176708,271.42178,317.44586,311.14587,264.03809,193.70035
198,220,0,3.4446466,41.509457,0.33736667,330.87665,327.75555,294.96243,203.99561,183.63387
199,220,0,3.1522169,43.82719,0.15471891,345.71149,337.2489,234.72488,198.75526,200.93954
200,220,0,2.7473867,30.928522,0.19832493,362.24652,315.36752,221.74683,214.23068,179.1786
201,220,0,2.4033015,27.778307,0.17600922,367.03171,250.759,233.45332,192.70573,182.16965
202,220,0,2.2618403,37.034344,0.097349018,369.71933,254.20522,212.51118,192.56847,194.72626
203,220,0,1.7918968,33.469471,0.23124854,353.82489,238.23611,219.2856,205.31293,193.82799
204,220,0,1.4926282,16.014647,0.25531358,315.37234,225.67468,225.653,208.0174,192.02179
205,220,0,2.0206053,9.1337595,0.25067225,267.77087,246.87691,236.76707,203.44894,193.91708
206,220,0,2.8410487,5.4975348,0.22728521,238.15904,262.34027,237.72556,204.24847,206.7675
207,220,0,2.8391604,5.4600229,0.21021117,247.8378,274.3454,233.38107,213.62379,220.60291
208,220,0,2.5077748,6.3731475,0.22217485,279.50146,275.93967,241.34756,229.91078,215.44202
209,220,0,2.1546178,4.5311971,0.24500854,304.05838,279.5954,253.60074,227.67593,210.19444
210,220,0,2.1422067,9.3725109,0.22017883,320.7933,284.11566,262.31137,223.19177,221.28926
211,220,0,2.7536893,12.553442,0.22993381,325.133,295.99075,256.95303,231.02341,223.69269
212,220,0,3.1992431,10.336934,0.18343993,332.56003,301.70312,258.9856,237.37877,242.58781
213,220,0,3.2766204,8.2689199,0.24268201,334.74191,297.88123,261.68765,259.3685,216.16209
214,220,0,2.2814188,9.9071102,0.27929637,344.17261,300.2919,278.40332,242.45296,204.86499
215,220,0,1.9129087,11.237832,0.28511414,347.27924,299.18411,286.23975,219.44212,200.13037
216,220,0,1.9087622,16.038467,0.22082084,351.2095,311.22293,259.13971,214.61841,212.40041
217,220,0,1.8401463,19.583899,0.22965679,351.94644,313.60712,243.6619,222.09602,215.18193
218,220,0,1.8673913,18.164616,0.24269186,350.32086,300.18591,250.46761,231.62787,209.67667
219,220,0,2.0659697,7.3385487,0.22456037,350.96869,280.38049,260.01151,221.86482,216.98813
220,220,0,1.6403481,6.4305334,0.22762696,361.62518,296.74695,260.5365,226.92938,222.53914
221,220,0,1.7832942,9.4538631,0.2204541,348.08362,297.5224,255.35394,235.88565,223.49521
222,220,0,1.9583108,11.821128,0.20364712,335.95325,303.99817,263.10611,236.7767,225.87938
223,220,0,2.1753089,10.882095,0.19148974,341.14545,295.92331,268.19955,239.47876,231.97948
224,220,0,2.3370497,6.9522443,0.19821846,345.32376,300.09201,267.02914,244.0737,236.71169
225,220,0,2.6264887,7.1324854,0.19246358,352.18967,306.16562,267.99243,249.32129,238.52028
226,220,0,2.7907419,6.6485577,0.1854964,348.78439,307.46124,276.37555,252.29547,240.63472
227,220,0,2.7863026,9.9685354,0.2365891,346.73016,306.69061,279.08002,255.75131,224.03947
228,220,0,3.0511599,12.464088,0.20987856,351.89587,311.77924,284.75143,234.01204,232.61284
229,220,0,3.0696378,14.056068,0.25479382,353.54553,315.51443,270.37903,244.17967,207.91383
230,220,0,3.1384268,15.339764,0.20794891,351.86456,317.41455,267.47467,224.70175,231.96744
231,220,0,3.1157789,14.461605,0.21279868,354.29688,308.05368,252.1582,236.32637,219.24706
232,220,0,3.1328952,12.96771,0.20736262,361.05444,302.45209,257.702,238.47693,226.35381
233,220,0,3.347152,12.895487,0.18639775,362.09479,279.56168,262.38605,239.43782,220.53787
234,220,0,3.4047232,15.032382,0.19944052,356.41376,297.47665,262.35715,240.66362,216.30899
235,220,0,3.2910089,19.344278,0.26474914,342.80472,297.34418,268.9437,231.96985,201.89322
236,220,0,3.3045211,18.318007,0.26944417,330.95856,289.95328,259.50336,212.32816,193.61847
237,220,0,3.3434138,12.474292,0.18027388,341.36459,298.15335,240.25662,206.68803,222.60416
238,220,0,3.1919231,13.950337,0.17031805,341.74026,284.26981,231.9265,234.45033,221.78294
239,220,0,3.0131221,17.583918,0.14037602,334.2193,278.4924,244.86842,239.72441,232.88739
240,220,0,3.0192597,15.475213,0.21135572,334.65762,257.17218,262.79785,248.68069,221.91541
241,220,0,3.0254755,13.079342,0.19690248,325.79044,286.54559,275.40021,232.06616,222.98225
242,220,0,2.8676462,17.606298,0.20306943,310.13681,292.77573,255.077,240.46375,219.63239
243,220,0,2.6530623,18.420954,0.15987825,313.07248,295.32126,271.64575,225.49405,225.20267
244,220,0,2.4788566,13.73947,0.17721252,322.36349,292.92023,241.78105,241.86775,227.68797
245,220,0,2.5449736,14.388101,0.17769994,338.37836,281.13907,267.61676,243.76064,222.31758
246,220,0,2.6249177,15.204091,0.17335641,336.03271,272.07443,272.75113,232.57672,226.77284
247,220,0,2.6158783,11.253858,0.19178598,331.1199,294.89499,261.69968,242.6432,230.12994
248,220,0,2.6590836,12.640477,0.18241619,315.19412,293.03824,266.72089,243.59927,228.94267
249,220,0,2.7952764,19.892132,0.19744189,325.91806,280.66946,264.7124,247.80649,227.05942
250,220,0,2.9219725,25.15493,0.21156923,320.51398,292.37598,276.11307,244.43013,212.39317
251,220,0,2.6769433,23.1903,0.14966458,315.81787,293.9028,270.98108,225.67227,227.61331
252,220,0,2.4953098,15.876278,0.17086673,325.98068,301.71518,255.46954,240.63713,221.10623
253,220,0,2.5711484,13.455205,0.18197671,324.19617,293.3176,261.02298,237.89896,219.6685
254,220,0,2.5306153,11.17564,0.17044242,332.62988,271.0798,266.86539,236.20355,223.06654
255,220,0,2.5064812,11.374628,0.17035919,322.05765,291.40546,262.1741,238.17831,216.65819
256,220,0,2.5997539,13.172581,0.1844198,301.50323,286.72864,263.00256,231.62306,211.57437
257,220,0,2.5689898,15.989675,0.20666204,312.10434,286.18195,257.15771,227.37009,212.49673
258,220,0,2.5831485,14.451371,0.19466919,317.52051,284.68643,253.46106,226.38512,215.05429
259,220,0,2.5850933,10.969555,0.19411738,309.28189,274.94266,250.83125,230.8476,211.17461
260,220,0,2.4926612,9.2942543,0.17682683,308.9303,279.5665,257.05899,226.89325,213.31554
261,220,0,2.4420726,10.209732,0.17162541,302.34854,277.0282,254.7856,228.27318,219.31448
262,220,0,2.200973,10.412667,0.17385474,308.56424,281.71466,256.93378,233.57373,220.32355
263,220,0,1.5566765,9.9677601,0.15529837,314.21399,278.84882,260.25232,238.07957,219.08089
264,220,0,1.6772522,7.0911479,0.16690074,313.3446,281.04034,260.98203,235.78932,216.76416
265,220,0,1.8112329,5.9639544,0.15709446,303.48523,284.78757,264.91711,232.52374,218.0309
266,220,0,1.478641,6.1783657,0.15747663,307.8273,289.91232,259.72733,233.53279,217.43605
267,220,0,0.35168609,4.4920597,0.14601064,316.9642,282.51178,259.62137,232.81514,219.38673
268,220,0,-0.12626238,4.1092844,0.14542946,315.25674,278.62729,258.87964,235.12706,218.7052
269,220,0,0.1551189,3.3612432,0.14592117,304.10657,280.02405,261.21323,234.47443,219.49271
270,220,0,-0.25185919,3.1668346,0.14662108,295.60303,278.39609,260.7171,234.91754,219.58421
271,220,0,-0.36558899,4.4554033,0.14881761,294.73364,279.45813,261.02057,235.69781,219.56496
272,220,0,-0.75896066,4.7453909,0.14862292,292.32782,279.2197,261.81046,235.24747,219.14351
273,220,0,0.41620588,3.4026279,0.1416522,292.98526,280.68152,261.1217,234.39494,219.51196
274,220,0,0.72265613,2.8236775,0.14110832,292.72757,280.62372,259.9176,234.52258,219.9599
275,220,0,0.50247127,6.4222183,0.14534377,294.28571,278.6658,259.42871,235.42087,220.10199
276,220,0,0.13168982,6.3585515,0.15877201,294.99374,277.46408,260.47147,235.30527,219.87079
277,220,0,0.099589169,3.0220926,0.14843462,293.71738,277.65674,260.83032,235.01869,220.18869
278,220,0,1.0897068,3.235049,0.14993507,291.72333,279.0463,260.05484,235.53406,219.65887
279,220,0,1.2623613,7.156579,0.15747592,292.06772,278.54538,261.21805,235.02109,220.24167
280,220,0,1.1124409,9.1785612,0.15400036,293.37299,279.40515,260.83032,235.93141,220.48009
281,220,0,1.7250749,10.522006,0.15833083,294.26886,279.65561,260.70026,235.98199,218.02849
282,220,0,1.9511679,9.8298922,0.14747356,294.02805,279.37863,261.77673,233.96628,220.29465
283,220,0,1.9171726,10.258357,0.14883637,294.40854,279.97589,260.22583,235.39919,219.02309
284,220,0,2.4893363,12.540096,0.1704258,295.80292,281.48105,261.40588,233.87477,216.33067
