x,y,expertlabel,NDAI,SD,CORR,DF,CF,BF,AF,AN
193,219,0,3.1099775,24.348452,0.23213658,331.38239,201.15869,254.61702,237.08014,211.81279
194,219,0,3.7599344,9.8863297,0.16383126,247.21648,241.28255,265.73349,225.51573,248.0714
195,219,0,3.2083716,8.089859,0.11162872,221.33983,289.6691,261.78156,251.28641,281.35822
196,219,0,2.8166745,8.0023413,0.13548225,232.5117,301.15164,267.32776,290.88766,270.16467
197,219,0,4.016521,6.9732103,0.18523897,268.65952,307.08075,304.29681,285.07657,249.31888
198,219,0,3.8561735,15.966235,0.37617612,329.71347,313.18326,315.06891,267.89371,162.72543
199,219,0,3.3036361,41.230007,0.38128889,340.90942,332.12656,299.62238,180.83307,164.52922
200,219,0,2.4456763,51.250423,0.34206691,353.98624,340.68546,227.00885,171.57576,168.3463
201,219,0,2.1121118,32.150402,0.24391633,357.50708,315.50238,192.44565,175.90097,174.56921
202,219,0,2.0130947,20.696791,0.11428693,367.8168,249.62714,185.85187,184.16608,182.43214
203,219,0,1.980885,40.649166,0.14303149,371.69168,213.78275,201.81374,192.92729,186.74773
204,219,0,2.3379252,35.95472,0.22507609,355.9321,201.3947,216.44867,198.09299,194.62752
205,219,0,2.1552827,22.368137,0.21904375,302.75552,225.48442,226.12984,203.60548,203.55249
206,219,0,1.7010189,8.6191597,0.2402389,250.94203,253.48755,230.66457,212.95912,201.13461
207,219,0,2.0007987,5.9939451,0.25086686,226.59944,267.0773,237.73038,214.92426,200.26764
208,219,0,2.2374103,6.2615862,0.22548696,245.66074,272.25504,248.26888,211.19629,209.60683
209,219,0,2.0419803,7.6047425,0.23196191,303.68271,281.20892,243.29584,216.08502,213.69363
210,219,0,2.0312276,9.2833595,0.24492103,320.28036,288.13022,241.37405,223.60599,209.14204
211,219,0,2.2531807,9.3424835,0.20791903,323.56522,288.60223,248.18941,224.80771,221.12308
212,219,0,2.4267666,7.5988002,0.22825621,330.3324,285.42096,254.7278,230.09622,215.9044
213,219,0,1.9530562,12.501516,0.25391108,336.74075,285.1127,261.03259,234.80435,207.94273
214,219,0,1.5316292,16.862476,0.26022485,341.98111,295.27792,263.54922,224.70656,205.52245
215,219,0,1.6651267,13.818748,0.26937467,340.67825,301.79706,264.57996,220.78593,203.66809
216,219,0,1.631409,15.168508,0.24293306,337.05383,295.87997,251.89812,218.92435,209.54181
217,219,0,1.5233268,12.34837,0.25406551,342.46515,307.46848,251.77287,221.37114,206.76028
218,219,0,1.6672586,7.4509358,0.25215355,347.95117,291.77872,255.18056,221.76849,208.73022
219,219,0,1.6228231,6.9118028,0.23711786,343.59705,291.41507,252.6543,220.21518,212.32816
220,219,0,1.7282741,7.5072289,0.23577823,352.39438,298.11002,256.13904,223.52652,219.27354
221,219,0,1.8193572,7.7245827,0.22777978,348.61343,291.45361,252.72655,231.52191,216.48239
222,219,0,1.4279034,6.7745752,0.22834067,336.00623,300.23889,258.57138,229.73981,220.38617
223,219,0,1.7806749,5.2867317,0.2308841,347.49359,296.11359,264.65219,230.85724,222.12973
224,219,0,2.1828747,5.146337,0.22732516,343.40436,299.40326,261.31677,236.90434,225.27731
225,219,0,2.2354605,5.2740254,0.2031555,347.82593,303.2468,263.27228,237.91821,230.12512
226,219,0,2.669544,5.7936101,0.20375974,349.27328,303.66104,268.88589,244.15077,233.4437
227,219,0,2.9468057,4.8505592,0.20134841,346.94211,302.02344,272.94861,248.22313,229.42192
228,219,0,2.994477,5.8246307,0.23077048,349.81033,307.27341,274.22018,246.56624,224.95461
229,219,0,2.9866021,7.4831347,0.20194611,352.78452,309.45047,279.27026,235.08612,238.554
230,219,0,2.8147395,10.905031,0.26303762,350.60263,311.11456,263.37341,253.46347,204.65788
231,219,0,2.9317293,13.661041,0.18503487,351.23599,311.43726,274.47546,215.65636,224.30197
232,219,0,2.8817422,12.986367,0.17128971,355.31558,300.65314,243.49814,230.89336,234.57317
233,219,0,2.9028811,13.765687,0.18232188,354.55939,297.1973,254.47012,248.39893,227.35081
234,219,0,3.0658031,13.550797,0.19006592,355.27704,265.39395,273.16296,238.24333,232.92592
235,219,0,3.4105027,10.609499,0.22860806,350.16193,290.64926,268.93408,246.53735,212.35464
236,219,0,3.4426348,21.855831,0.25937593,338.36392,301.31299,269.51447,232.44186,200.03163
237,219,0,3.3432837,22.904072,0.27233362,325.8988,301.91266,266.06104,209.43826,201.07199
238,219,0,3.4228008,15.245576,0.26207453,328.5816,300.55438,234.36124,217.40956,191.19095
239,219,0,3.3700106,20.700399,0.1961074,335.57275,282.27576,243.32715,202.42303,219.2326
240,219,0,3.1809828,21.301607,0.23112361,348.1438,269.30011,220.61736,235.21376,200.05812
241,219,0,3.1899722,14.457279,0.18619283,341.27789,262.86288,249.46577,220.33318,216.35957
242,219,0,3.1344609,15.952822,0.16606814,319.87097,257.3287,257.82962,225.20747,226.50552
243,219,0,3.0285313,13.938013,0.22519563,303.38889,276.42374,243.17543,242.62393,211.3215
244,219,0,2.9135089,13.6897,0.1809109,310.17053,272.67166,276.47913,223.56264,232.47318
245,219,0,2.7492478,12.021233,0.16434488,302.12457,287.03448,243.46442,250.66267,237.25836
246,219,0,2.8658984,12.577046,0.1673521,311.8298,284.14215,281.3197,254.65555,241.7618
247,219,0,3.0003006,12.939775,0.17535225,319.17017,286.28549,283.26315,256.3028,231.47133
248,219,0,2.8714523,13.947869,0.16789268,336.45657,310.78705,276.71994,245.0948,235.27878
249,219,0,2.4876838,13.355539,0.17407157,321.51581,306.37512,275.42911,251.16841,236.99586
250,219,0,2.6141474,15.580361,0.17607395,338.62399,302.99396,277.46167,254.98549,238.9032
251,219,0,2.8778257,21.192493,0.19080397,332.8996,288.71301,280.9657,257.25888,232.85608
252,219,0,2.9583898,25.040087,0.20056714,337.80762,307.95734,286.84424,255.51289,230.73682
253,219,0,2.6102674,29.414419,0.21033379,328.10236,313.14713,289.32471,249.24904,229.01733
254,219,0,2.5236461,29.077972,0.21780084,335.7341,312.0321,278.7814,247.03104,227.99382
255,219,0,2.5680127,23.932707,0.19699112,339.38983,306.48108,274.97876,246.01234,228.50919
256,219,0,2.71632,20.310209,0.15488376,349.10953,300.90359,275.13773,245.0033,230.79462
257,219,0,2.7804871,22.827379,0.16887888,339.18994,299.67297,273.48807,247.46933,219.45657
258,219,0,2.7865493,20.047798,0.167982,331.18732,294.35315,276.07693,235.44977,225.68431
259,219,0,2.6485498,16.446119,0.18720192,326.10352,296.57114,262.98087,243.78471,223.68546
260,219,0,2.4165452,17.480709,0.15140271,320.76923,294.47116,271.77341,240.29758,224.42961
261,219,0,2.3974984,16.43469,0.15442815,316.55963,285.59192,266.40781,238.70572,222.84016
262,219,0,2.3559613,15.34728,0.15319981,314.96536,294.80591,265.24945,240.83702,224.53557
263,219,0,2.1413817,13.394774,0.15619092,307.01093,287.51852,268.54874,240.03989,223.42778
264,219,0,1.9273014,9.1487446,0.16019429,321.58804,289.52701,268.54633,238.37097,219.88765
265,219,0,1.5499061,6.9362683,0.15420893,308.5257,289.56555,263.46735,234.73692,219.95508
266,219,0,1.221264,5.9029145,0.15966305,313.96594,283.5979,261.13614,235.87602,217.86954
267,219,0,0.78412789,4.9896278,0.15239249,315.57224,283.01752,261.13855,233.63153,217.89362
268,219,0,0.40517646,4.7032828,0.14928202,303.40094,277.63266,260.75565,232.75975,218.64499
269,219,0,1.3244452,4.4097972,0.15596993,301.65497,282.80316,258.4606,234.354,218.82321
270,219,0,1.3970381,3.9066162,0.15064535,300.68924,277.98669,260.392,234.64781,219.95508
271,219,0,0.79561496,4.7799249,0.15691099,303.98132,278.25641,260.7677,234.59966,220.17183
272,219,0,0.54762292,4.9530792,0.1568311,296.98056,280.94641,258.38593,235.71468,219.32893
273,219,0,0.9745177,3.2810736,0.14583211,294.79626,279.01981,260.74603,234.62856,219.87561
274,219,0,1.4631556,2.7500446,0.15723094,300.08719,279.38828,258.86517,235.1969,217.32286
275,219,0,1.4063218,6.1522646,0.14810055,299.46826,278.74286,260.64487,230.8476,220.83409
276,219,0,0.76920611,7.8704724,0.15313694,300.01733,278.53577,256.76038,237.72314,218.68834
277,219,0,1.4304949,6.6127944,0.16517437,300.60495,280.02887,262.0585,235.24266,219.92378
278,219,0,1.8648084,5.7699847,0.15186152,297.53687,277.30032,262.29453,236.03015,217.80693
279,219,0,1.8635262,12.580494,0.16535515,297.22137,283.28,262.33548,234.61891,217.03629
280,219,0,1.7765614,11.280871,0.16838156,296.28937,281.12463,260.81586,232.83441,220.87503
281,219,0,1.7092571,9.5239868,0.16068316,304.4726,281.02347,260.06689,236.1602,223.52893
282,219,0,1.8642714,9.611064,0.17461963,302.34613,281.17761,261.36975,238.14218,217.36621
283,219,0,2.1933961,11.987391,0.19668745,297.86197,284.23367,261.15302,232.29254,219.13147
284,219,0,2.4867239,14.055707,0.23523238,300.73743,283.40524,259.3396,234.13245,207.5863
285,219,0,2.4564238,14.472324,0.20640308,316.29953,285.96762,258.25589,220.14534,221.11827
286,219,0,1.9210638,13.628479,0.18239649,317.28931,279.29196,249.48746,231.18716,222.53432
287,219,0,1.1298623,13.309645,0.16200183,317.32303,283.66776,256.34134,235.98921,221.43375
288,219,0,0.35430399,6.5304394,0.14263763,311.26147,284.15421,259.60452,236.3649,220.65347
289,219,0,0.57178921,4.5788126,0.1400815,320.94745,294.42056,261.71896,235.97958,219.76965
290,219,0,1.0810153,5.0551615,0.1444052,327.6713,283.858,260.99167,234.51778,220.17183
291,219,0,1.6441219,4.6769171,0.15027913,339.26941,280.05777,259.55634,234.51295,219.85635
292,219,0,1.8480936,2.8721719,0.14090832,317.65536,278.74768,258.96872,235.42328,220.32837
293,219,0,1.5390673,1.8956071,0.14149711,301.13477,276.42853,259.54672,235.82063,221.31093
294,219,0,-0.1570697,1.7144027,0.13888931,294.52414,277.02097,260.11987,236.55275,221.43375
295,219,0,0.71766943,2.2392938,0.13889717,291.37656,278.27084,261.60815,236.84895,220.44878
296,219,0,0.6655606,2.2189746,0.13975203,292.66495,279.44366,261.97421,235.74117,220.37653
297,219,0,-0.40711659,2.0893166,0.13638322,293.6716,279.22211,260.68582,234.74173,220.65829
